distribuidora,subestacion,tension_kv,provincia,n_eventos_hist,años_distintos,trimestre_patron,concentracion_pct,avg_delta_mw,max_delta_mw,ultimo_evento,ventana_inicio,ventana_fin,estado_ventana,confianza,fechas_historicas,proyectos_ids,proyectos_estados
Endesa,SECUNDAR,66.0,Málaga,2,2,2,100.0,14.9,21.9,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.66,2022-04-01|2026-05-01,,
Endesa,GUIA,20.0,Las Palmas,2,2,1,100.0,13.9,21.2,2026-01-01,2027-01-01,2027-03-31,en 221d,0.66,2022-03-01|2026-01-01,,
UFD,REDONDELA,15.0,PONTEVEDRA,2,2,1,100.0,13.9,17.9,2025-01-27,2027-01-01,2027-03-31,en 221d,0.66,2022-02-27|2025-01-27,,
iDE,VILLALBA T1,20.0,MADRID,2,2,4,100.0,12.8,15.7,2025-11-01,2026-10-01,2026-12-31,en 129d,0.66,2024-12-02|2025-11-01,,
Endesa,ENRAMADI,20.0,Sevilla,2,2,2,100.0,12.6,14.7,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.66,2022-04-01|2026-05-01,,
Endesa,ROCIO,15.0,Huelva,2,2,4,100.0,12.5,20.0,2025-10-01,2026-10-01,2026-12-31,en 129d,0.66,2021-11-01|2025-10-01,,
Endesa,CANSINOS,20.0,Córdoba,2,2,2,100.0,12.4,14.9,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.66,2022-04-01|2026-05-01,,
REE,SA VINYETA,66.0,,2,2,1,100.0,12.0,14.0,2025-02-03,2027-01-01,2027-03-31,en 221d,0.66,2024-02-01|2025-02-03,,
iDE,S.AGUSTI T1,20.0,MADRID,2,2,4,100.0,11.9,13.8,2025-11-01,2026-10-01,2026-12-31,en 129d,0.66,2024-12-02|2025-11-01,,
iDE,VILLALBA T2,20.0,MADRID,2,2,4,100.0,11.9,13.9,2025-11-01,2026-10-01,2026-12-31,en 129d,0.66,2024-12-02|2025-11-01,,
Endesa,CUNA,66.0,Sevilla,2,2,2,100.0,11.8,14.7,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.66,2022-04-01|2026-05-01,,
Endesa,HYTASA,66.0,Sevilla,2,2,2,100.0,11.5,14.7,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.66,2022-04-01|2026-05-01,,
Endesa,COLON,15.0,Huelva,2,2,1,100.0,11.3,14.9,2026-03-01,2027-01-01,2027-03-31,en 221d,0.66,2022-01-01|2026-03-01,,
iDE,ARAVACA T1,20.0,MADRID,2,2,4,100.0,11.3,11.8,2025-10-03,2026-10-01,2026-12-31,en 129d,0.66,2024-12-02|2025-10-03,,
Endesa,MEDINA_S,15.0,Cádiz,2,2,4,100.0,10.9,15.0,2025-12-01,2026-10-01,2026-12-31,en 129d,0.66,2021-12-01|2025-12-01,,
